Group num: 0, TC(X;Y_j): 284.094
comp57476_c0_seq2, 0.397
comp153575_c0_seq2, 0.397
comp322081_c0_seq1, 0.396
comp514960_c0_seq1, 0.395
comp152359_c0_seq2, 0.395
comp175065_c0_seq1, 0.395
comp78454_c0_seq1, 0.394
comp826_c2_seq6, 0.393
comp388059_c0_seq1, 0.393
comp5895_c1_seq1, 0.393
comp135039_c0_seq2, 0.393
comp62689_c0_seq1, 0.392
comp23405_c0_seq1, 0.392
comp200265_c0_seq1, 0.391
comp28545_c0_seq4, 0.391
comp181071_c0_seq1, 0.391
comp31740_c0_seq1, 0.389
comp79433_c1_seq2, 0.389
comp33461_c0_seq1, 0.387
comp270279_c0_seq1, 0.387
comp203018_c0_seq1, 0.387
comp168632_c0_seq1, 0.387
comp387144_c0_seq1, 0.386
comp197946_c0_seq1, 0.386
comp401464_c0_seq1, 0.385
comp442345_c0_seq1, 0.382
comp473690_c0_seq1, 0.382
comp31837_c0_seq1, 0.381
comp20189_c1_seq1, 0.381
comp112904_c0_seq1, 0.380
comp207547_c0_seq1, 0.379
comp247334_c0_seq1, 0.379
comp192486_c0_seq2, 0.378
comp289654_c0_seq1, 0.377
comp1097_c13_seq3, 0.376
comp168986_c0_seq1, 0.376
comp5015_c2_seq1, 0.374
comp311671_c0_seq2, 0.373
comp1603_c15_seq3, 0.371
comp109808_c0_seq1, 0.371
comp7276_c1_seq1, 0.371
comp295029_c0_seq1, 0.370
comp191162_c0_seq1, 0.369
comp19932_c0_seq5, 0.369
comp404941_c0_seq1, 0.368
comp237349_c0_seq1, 0.367
comp481935_c0_seq1, 0.367
comp460640_c0_seq1, 0.367
comp27095_c0_seq1, 0.367
comp337234_c0_seq1, 0.367
comp127969_c0_seq1, 0.366
comp17292_c0_seq3, 0.363
comp215430_c0_seq1, 0.362
comp182_c25_seq1, 0.362
comp51463_c1_seq1, 0.361
comp116426_c0_seq1, 0.361
comp103073_c1_seq1, 0.360
comp468089_c0_seq1, 0.360
comp407184_c0_seq1, 0.360
comp363507_c0_seq2, 0.359
comp79352_c0_seq5, 0.358
comp83772_c0_seq2, 0.354
comp302659_c0_seq1, 0.354
comp13540_c0_seq11, 0.353
comp12694_c0_seq7, 0.352
comp128366_c0_seq1, 0.352
comp141308_c0_seq1, 0.352
comp3744_c3_seq13, 0.352
comp409521_c0_seq1, 0.352
comp43223_c1_seq1, 0.352
comp67511_c0_seq1, 0.351
comp826_c2_seq1, 0.350
